0,0.4925,0.69,0.195,0.2
0,0.15,0.8275,0.3,0.165
0,0.37,0.7775,0.12,0.035
0,0.3825,0.4725,0.165,0.265
0,0.71,0.9825,0.15,0.035
0,0.9825,0.285,0.035,0.57
0,0.64,0.9075,0.37,0.185
0,0.805,0.9825,0.08,0.035
0,0.8775,0.985,0.095,0.03
0,0.53,0.865,0.07,0.1
0,0.4875,0.7575,0.055,0.075
0,0.2475,0.3475,0.145,0.185
0,0.3675,0.5225,0.125,0.155
0,0.04,0.14,0.08,0.28
0,0.9975,0.7,0.005,0.18
0,0.4525,0.655,0.175,0.24
0,0.355,0.5325,0.12,0.145
0,0.265,0.12,0.28,0.21
0,0.775,0.765,0.37,0.19
0,0.9925,0.1375,0.015,0.035
0,0.7325,0.2475,0.175,0.315
0,0.105,0.92,0.21,0.12
0,0.06,0.1175,0.12,0.165
0,0.595,0.1925,0.38,0.115
0,0.895,0.8025,0.21,0.195
0,0.04,0.265,0.08,0.11
0,0.7325,0.2375,0.125,0.475
0,0.7,0.7175,0.12,0.345
0,0.075,0.99,0.15,0.02
0,0.865,0.095,0.27,0.08
0,0.2875,0.8225,0.575,0.345
0,0.5775,0.15,0.615,0.2
0,0.35,0.8575,0.18,0.185
0,0.9975,0.26,0.005,0.11
0,0.465,0.305,0.21,0.21
0,0.0375,0.31,0.075,0.1
0,0.5625,0.4675,0.075,0.195
0,0.495,0.46,0.08,0.18
0,0.4225,0.0475,0.285,0.085
0,0.1925,0.6825,0.355,0.155
0,0.345,0.95,0.32,0.1
0,0.34,0.9175,0.25,0.105
0,0.55,0.4675,0.1,0.235
0,0.1325,0.18,0.115,0.23
0,0.495,0.025,0.19,0.05
0,0.2,0.795,0.12,0.18
0,0.265,0.3675,0.18,0.055
0,0.615,0.8425,0.07,0.075
0,0.67,0.735,0.07,0.1
0,0.8125,0.12,0.375,0.17
0,0.35,0.015,0.32,0.03
0,0.7525,0.5225,0.165,0.225
0,0.9325,0.7525,0.135,0.085
0,0.9325,0.745,0.135,0.16
0,0.565,0.8975,0.39,0.155
0,0.2675,0.375,0.165,0.1
0,0.8275,0.2525,0.185,0.125
0,0.2375,0.005,0.215,0.01
0,0.225,0.0675,0.18,0.135
0,0.6025,0.8475,0.185,0.145
0,0.175,0.0075,0.35,0.015
0,0.35,0.015,0.26,0.03
0,0.4125,0.335,0.265,0.12
0,0.81,0.8925,0.16,0.215
0,0.095,0.445,0.19,0.19
0,0.315,0.6625,0.07,0.075
0,0.4375,0.87,0.065,0.07
0,0.52,0.9275,0.07,0.075
0,0.84,0.3725,0.14,0.075
0,0.0175,0.2475,0.035,0.175
0,0.35,0.49,0.25,0.17
0,0.79,0.02,0.11,0.04
0,0.2375,0.4075,0.065,0.285
0,0.3,0.835,0.6,0.33
0,0.465,0.035,0.33,0.07
0,0.9625,0.1475,0.075,0.065
0,0.4075,0.9175,0.225,0.165
0,0.415,0.845,0.44,0.11
0,0.4875,0.8975,0.165,0.205
0,0.97,0.9425,0.06,0.115
0,0.5675,0.0775,0.165,0.155
0,0.41,0.7125,0.11,0.395
0,0.12,0.93,0.08,0.14
0,0.32,0.2525,0.11,0.085
0,0.8325,0.6175,0.145,0.325
0,0.015,0.4475,0.03,0.045
0,0.9725,0.2275,0.055,0.065
0,0.5775,0.805,0.135,0.09
0,0.6875,0.0075,0.085,0.015
0,0.88,0.4675,0.03,0.045
0,0.6175,0.0175,0.095,0.035
0,0.84,0.165,0.08,0.09
0,0.5475,0.12,0.285,0.18
0,0.9625,0.0325,0.075,0.065
0,0.66,0.3625,0.55,0.265
0,0.5425,0.1925,0.915,0.385
0,0.9175,0.355,0.095,0.2
0,0.8675,0.41,0.035,0.08
0,0.9075,0.505,0.045,0.06
0,0.9325,0.085,0.055,0.09
0,0.8875,0.2,0.055,0.11
0,0.9975,0.98,0.005,0.04
0,0.96,0.785,0.08,0.11
0,0.94,0.765,0.07,0.09
0,0.99,0.1,0.02,0.2
0,0.995,0.4325,0.01,0.355
0,0.0625,0.0775,0.125,0.155
0,0.0175,0.035,0.035,0.07
0,0.4425,0.75,0.255,0.06
